Library_Symbol_Name,Category,Subcategory,SKU,Item,KiCad_Default_Symbol,KiCad_Default_Footprint,Footprint_Status,Pin_Count,Source_URL,Package_Mount,Notes,Symbol_Value,Footprint_Confidence
RES-QW,Resistors,Through-hole,RES-QW,1/4W Metal Film Resistor - 10 pack,Device:R,Library:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,local copy of KiCad 10.0.5 default footprint,2,https://stompboxparts.com/resistors/,Axial,1% metal film; 4.7M is carbon film 5%,1/4W Metal Film Resistor - 10 pack,HIGH
RES-QW-BAG,Resistors,Through-hole,RES-QW-BAG,1/4W Metal Film Resistor - Bag of 200,Device:R,Library:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,local copy of KiCad 10.0.5 default footprint,2,https://stompboxparts.com/resistors/,Axial,1% metal film; 4.7M and 10M are carbon film 5%,1/4W Metal Film Resistor - Bag of 200,HIGH
